Topic,Count,Name,Representation,Representative_Docs
13,507,13_movies_watch_film_movie,"['movies', 'watch', 'film', 'movie', 'season', 'netflix', 'series', 'best', 'studios', 'ranked']","['3 sci-fi movies on Peacock you need to watch in November', '3 action movies on Netflix you need to watch in November', '5 sci-fi movies on Netflix you need to watch in November']"
14,490,14_china_chinas_chinese_taiwan,"['china', 'chinas', 'chinese', 'taiwan', 'biden', 'philippines', 'sea', 'imf', 'hong', 'hong kong']","['Philippines Says China Fired Water Cannon at Supply Vessel in South China Sea', ""China's defense ministry urges Japan not to destabilize South China Sea"", 'philippines accuses china of ‘dangerous manoeuvres’ in south china sea']"
15,464,15_earnings_eps_results_estimates,"['earnings', 'eps', 'results', 'estimates', 'quarterly', 'beats', 'guidance', 'releases', 'expectations', 'issues']","['BGSF (NYSE:BGSF) Posts Quarterly Earnings Results, Beats Estimates By $0.06 EPS', 'Riskified (NYSE:RSKD) Releases Quarterly Earnings Results, Beats Estimates By $0.02 EPS', 'Corteva (NYSE:CTVA) Releases Quarterly Earnings Results, Beats Estimates By $0.03 EPS']"
16,439,16_target_price_pt_analysts,"['target', 'price', 'pt', 'analysts', 'lowered', 'raised', 'cut', 'given', 'bank canada', 'royal bank']","['Centerspace (NYSE:CSR) Price Target Cut to $58.00 by Analysts at Royal Bank of Canada', 'Dexterra Group (TSE:DXT) Price Target Raised to C$7.00 at Scotiabank', 'Berenberg Bank Lowers Energean (LON:ENOG) Price Target to GBX 1,520']"
17,397,17_thanksgiving_holiday_best_gifts,"['thanksgiving', 'holiday', 'best', 'gifts', 'gift', 'wine', 'guide', 'art', 'fashion', 'restaurant']","['Holiday Gift Guide 2023: Best Winter Ski Gifts For Skiers And Snowboarders', 'Holiday Gift Guide 2023: The Best Gifts For Wilderness Explorers', 'Holiday Gift Guide 2023: Best Panettone Gifts From Italy']"
18,393,18_congress_modi_pm_pm modi,"['congress', 'modi', 'pm', 'pm modi', 'polls', 'mp', 'india', 'shah', 'singh', 'politics']","['INDIA will be wiped out in Chhattisgarh, MP & Rajasthan: PM Modi', 'Congress insulting Gurjars in Rajasthan: PM Modi', 'Congress symbol of corruption, nepotism and appeasement: PM Modi']"
19,346,19_speaker_trump_house_republicans,"['speaker', 'trump', 'house', 'republicans', 'jordan', 'biden', 'johnson', 'donald', 'election', 'republican']","[""trump doesn't have enough clout on capitol hill to make jim jordan the house speaker"", 'trump endorses jim jordan for house speaker, testing the strength of his power', 'donald trump serving as house speaker would be chaos for the legislature and misery for the embattled former president']"
20,299,20_dividend_quarterly_issue_declares,"['dividend', 'quarterly', 'issue', 'declares', 'monthly', 'plans', 'november', 'income', 'fund', 'share']","['Grupo Nutresa S. A. to Issue Dividend of $0.01 (OTCMKTS:GCHOY)', 'ISC Declares Quarterly Dividend', 'DNO Shares Traded Ex-Dividend']"
21,295,21_elon_musk_elon musk_social,"['elon', 'musk', 'elon musk', 'social', 'social media', 'media', 'ads', 'instagram', 'twitter', 'facebook']","['Elon Musk Meets Benjamin Netanyahu In Israel', 'Elon Musk in Israel to discuss Starlink, anti-Semitism', ""elon musk isn't convinced there are aliens out there: 'we're the aliens'""]"
22,281,22_ai_generative_generative ai_intelligence,"['ai', 'generative', 'generative ai', 'intelligence', 'artificial', 'artificial intelligence', 'nvidia', 'aipowered', 'using', 'tech']","['Google may invest in Indian AI company Corover.ai', 'Now That Generative AI Is Here, Where Will All The Data Come From?', 'Watch this demonstration of the intriguing Ai Pin']"
23,275,23_high_52week_reaches new_new,"['high', '52week', 'reaches new', 'new', 'low', 'reaches', 'new 12month', '12month', 'hits', 'sets new']","['CaixaBank (OTCMKTS:CAIXY) Sets New 1-Year High at $1.50', 'Adamera Minerals (CVE:ADZ) Reaches New 1-Year High at $0.07', 'Dollarama (TSE:DOL) Sets New 1-Year High at $97.96']"
24,246,24_short_sees_october_sees large,"['short', 'sees', 'october', 'sees large', 'large', 'significant', 'update', 'growth', 'decline', 'limited']","['Kubota Co. (OTCMKTS:KUBTY) Short Interest Up 3,492.9% in October', 'TOD’S S.p.A. (OTCMKTS:TODGF) Short Interest Up 57.9% in October', 'Brembo S.p.A. (OTCMKTS:BRBOF) Short Interest Up 9.3% in October']"
25,219,25_nifty_gains_shares_falls,"['nifty', 'gains', 'shares', 'falls', 'rises', 'drops', 'points', 'cent', 'rise', 'gain']","['Shares of SRF rise as Nifty gains', 'Shares of Tata Elxsi rise as Nifty gains', 'shares of gail rise as nifty gains']"
26,215,26_euro_cup_world cup_vs,"['euro', 'cup', 'world cup', 'vs', 'live', 'football', 'premier', 'world', 'win', 'host']","[""Portugal vs Iceland live streaming: Where to watch Cristiano Ronaldo's UEFA Euro soccer match"", 'why saudi arabia is set to host the 2034 fifa world cup', 'morocco-spain-portugal to host 2030 world cup, saudi arabia to bid for 2034']"
27,212,27_congo_humanitarian_violence_security,"['congo', 'humanitarian', 'violence', 'security', 'dr', 'sexual', 'statement', 'council', 'conflict', 'killed']","['unhcr expresses grave concern for the protection of people displaced by violence in eastern dr congo', 'interview: battling fake news for peace and security in dr congo', 'un detains peacekeepers in dr congo over alleged sexual exploitation']"
28,205,28_taylor_swift_music_tour,"['taylor', 'swift', 'music', 'tour', 'fan', 'song', 'chart', 'charts', 'band', 'desk']","[""taylor swift's '1989 (taylor's version)' has sold one million copies in less than a week"", ""Taylor Swift fan dies before 'The Eras Tour' concert in Rio de Janeiro, Brazil"", 'Britney Spears remembers her first meetingr with the Taylor Swift']"
29,200,29_korea_north_secretary_press,"['korea', 'north', 'secretary', 'press', 'defense', 'briefing', 'minister', 'south korea', 'spokesperson', 'satellite']","['South Korea says Russian support likely enabled North Korea to successfully launch a spy satellite', 'US, South Korea Revise Security Agreement to Deter North Korea Threats', 'Secretary of Defense Lloyd J. Austin III Joint Press Conference with Republic of Korea Minister of National Defense Shin Won-Sik Following the U.S.-ROK Security Consultative Meeting, in Seoul, South Korea']"
30,195,30_space_solar_ring_mars,"['space', 'solar', 'ring', 'mars', 'launch', 'rocket', 'scientists', 'moon', 'image', 'stunning']","['exactly what you will see during the ‘ring of fire’ solar eclipse—and where to get your own schedule', 'how to see this year’s rare ‘ring of fire’ solar eclipse', 'rare ‘ring of fire’ solar eclipse in october: not visible in india, but here’s how to watch it']"
31,190,31_sam_ceo_ai_microsoft,"['sam', 'ceo', 'ai', 'microsoft', 'ouster', 'board', 'ousted', 'firing', 'return', 'tech']","[""ChatGPT's OpenAI Sacks Star CEO Sam Altman"", 'Sam Altman to return as Open AI CEO', 'ChatGPT’s OpenAI sacks CEO Sam Altman']"
32,184,32_bangladesh_indonesia_military_border,"['bangladesh', 'indonesia', 'military', 'border', 'refugees', 'ethnic', 'workers', 'protests', 'state', 'killed']","['Bangladesh PM Rejects Further Pay Hike After Garment Worker Protests', 'Bangladesh Garment Workers Clash With Police As Factories Reopen', 'Bangladesh garment worker killed during pay protests']"
33,180,33_coverage_stocknewscom_analysts_covered,"['coverage', 'stocknewscom', 'analysts', 'covered', 'receives', 'started', 'begins', 'research', 'new', 'group']","['NTN Buzztime (NYSEAMERICAN:NTN) Receives New Coverage from Analysts at StockNews.com', 'NIKE (NYSE:NKE) Receives New Coverage from Analysts at Evercore ISI', 'Natuzzi (NYSE:NTZ) Coverage Initiated by Analysts at StockNews.com']"
34,178,34_head_versus_headtohead_critical,"['head', 'versus', 'headtohead', 'critical', 'vs', 'survey', 'bancorp', 'analysis', 'financial', 'review']","['head to head survey: startek (nyse:srt) versus seqll (nasdaq:sql)', 'Brinker International (NYSE:EAT) versus Sweetgreen (NYSE:SG) Head to Head Contrast', 'Head-To-Head Review: Sampo Oyj (OTCMKTS:SAXPY) versus Bureau Veritas (OTCMKTS:BVRDF)']"
35,176,35_boat_missing_crash_bus,"['boat', 'missing', 'crash', 'bus', 'dead', 'killed', 'migrants', 'injured', 'dozens', 'flight']","['Dozens of migrants are missing after a boat capsized off Yemen', 'at least 18 venezuelan and haitian migrants killed in mexico bus crash', '18 migrants killed in mexico bus crash']"
36,173,36_khan_shah_diwali_film,"['khan', 'shah', 'diwali', 'film', 'birthday', 'tiger', 'box office', 'greetings', 'photos', 'box']","['‘Tiger 3’ proves its might at box-office: Salman Khan-starrer earns Rs 44 cr on Day 1', 'Shah Rukh Khan jokes that Aamir Khan takes forever to order tea when he visits his home: ‘Kal bata dena yaar’. Watch throwback video', 'Anubhav Sinha says he ‘failed’ Shah Rukh Khan with Ra.One: ‘I should have made a better film’']"
37,168,37_school_teachers_schools_parents,"['school', 'teachers', 'schools', 'parents', 'teacher', 'baby', 'marriage', 'mum', 'bullying', 'gay']","[""free daycare for teachers' kids could help fix the crisis for all parents"", 'Disruption expected at NI schools as teachers strike', 'public school teachers in portland, oregon, are on strike']"
38,164,38_nigeria_nigerias_nigerians_africa,"['nigeria', 'nigerias', 'nigerians', 'africa', 'nigerian', 'africas', 'gas', 'gov', 'oil', 'crisis']","['Nigeria withdraws $1bn claim against Eni', 'ittf para open: nigeria, s’africa battle for title', 'LFZ attracts Nordic Investors to Nigeria']"
39,159,39_housing_home_moved_homes,"['housing', 'home', 'moved', 'homes', 'california', 'house', 'living', 'texas', 'apartment', 'city']","[""a gen xer moved to north carolina to save money for retirement. her beachfront home cost about half as much as her california property, but the weather doesn't compare."", 'i moved to texas from california. i was nervous to live here, but the people are friendlier than i expected.', ""we moved from california to texas and lived in an rv for 5 months before we bought a home. we love it now, but it's not for everyone.""]"
40,157,40_floods_storm_flood_dead,"['floods', 'storm', 'flood', 'dead', 'mexico', 'missing', 'rain', 'rains', 'toll', 'kill']","[""storm babet caused dangerous floods as the 'dry side' of scotland isn't used to such torrential rain"", ""3 dead, 23 soldiers missing after flash floods in india's sikkim state"", 'storm ciarán: floods ravage tuscany leaving three dead']"
41,154,41_ev_electric_tesla_car,"['ev', 'electric', 'tesla', 'car', 'sales', 'vehicle', 'cars', 'buyers', 'range', 'india']","[""tesla's new, cheaper model y is one of the best deals you can get on an ev right now"", 'This is how to increase EV uptake', ""i'm a car dealer who only sells electric cars. this is what everyone else is getting wrong — and the advice i give prospective ev buyers.""]"
42,152,42_fraud_scam_rs_lakh,"['fraud', 'scam', 'rs', 'lakh', 'cybersecurity', 'data', 'internet', 'outage', 'ports', 'gang']","['Court jails two for internet fraud in Kano', '37-year-old, working in it firm, loses rs 30 lakh in crypto fraud', 'fraud warning as student loses £200,000 in fake policemen scam']"
